seed,x0_equation,x0_test_drift_mse
0,-1.09*x0 + x9*(x1 - 0.997*x8) + 4.19,0.03972204402089119
1,-1.1*x0 + x9*(x1 - 0.998*x8) + 4.16,0.044790614396333694
2,-1.09*x0 + x9*(x1 - 0.994*x8) + 4.14,0.03592071309685707
3,-1.03*x0 + x9*(x1 - 0.981*x8) + 4.06,0.02341717854142189
4,-1.1*x0 + 1.01*x9*(x1 - 0.986*x8) + 4.14,0.03881468251347542
5,-1.09*x0 + x9*(x1 - 0.989*x8) + 4.11,0.043214280158281326
6,-1.1*x0 + x9*(x1 - 0.996*x8) + 4.16,0.04304703697562218
7,-1.13*x0 + x9*(x1 - 0.981*x8) + 4.13,0.08749659359455109
8,-1.11*x0 + x9*(x1 - 0.999*x8 + 0.0156) + 4.1,0.05462205782532692
9,-1.1*x0 + x1*x9 - 0.983*x8*(x9 + 0.0779) + 4.2,0.03591195493936539
