seed,x0_equation,x0_test_drift_mse,x0_test_diffusion_mse,x1_equation,x1_test_drift_mse,x1_test_diffusion_mse,x2_equation,x2_test_drift_mse,x2_test_diffusion_mse
3,"[-0.988*x1 - 0.988*x2, 0.0819*x0]",0.004818917717784643,0.007225168403238058,"[x0 + 0.199*x1, -0.0827*x1]",4.140860983170569e-05,0.0063570295460522175,"[x2*(x0 - 5.56) + 0.196, -0.0937*x2]",0.25235259532928467,0.0005086309975013137
4,"[-0.994*x1 - 0.994*x2, -0.0838*x0]",0.0014106063172221184,0.00580172473564744,"[x0 + 0.19*x1, -0.0824*x1]",0.002238408662378788,0.006603150628507137,"[x2*(x0 - 5.65) + 0.218, 0.0063 - 0.0914*x2]",0.03477226942777634,0.0010677964892238379
5,"[-0.981*x1 - 0.981*x2, 0.0823*x0]",0.011846423149108887,0.006926956120878458,"[x0 + 0.204*x1, -0.0814*x1]",0.0003138165920972824,0.007357177324593067,"[0.989*x2*(x0 - 5.61) + 0.231, 0.00804 - 0.0869*x2]",0.12071707099676132,0.0023956422228366137
6,"[-0.99*x1 - 0.99*x2, -0.0834*x0]",0.003078106325119734,0.006096964236348867,"[x0 + 0.193*x1, -0.0824*x1]",0.0011482241097837687,0.006532013416290283,"[x0*x2 - 5.61*x2 + 0.198, 0.0949*x2 - 0.00948]",0.096931591629982,0.0004510318103712052
7,"[-0.985*x1 - 0.985*x2, 0.0841*x0]",0.007596146780997515,0.005607726983726025,"[x0 + 0.192*x1, 0.0844*x1]",0.0012783982092514634,0.005148096475750208,"[x2*(x0 - 6.59) + x2 + 0.204, 0.0104 - 0.0989*x2]",0.15418002009391785,8.046066795941442e-05
8,"[-0.995*x1 - 0.995*x2, 0.0842*x0]",0.0008731329580768943,0.00549687584862113,"[x0 + 0.19*x1, -0.0853*x1]",0.001975537044927478,0.004574703983962536,"[x2*(x0 - 5.6) + 0.202, -0.0931*x2]",0.11796785891056061,0.0006238655187189579
9,"[-0.996*x1 - 0.996*x2, 0.0828*x0]",0.0005095235537737608,0.006564171984791756,"[x0 + 0.207*x1, 0.0836*x1]",0.0009410087368451059,0.005671355873346329,"[x2*(x0 - 5.66) + 0.215, 0.00522 - 0.0892*x2]",0.02191450446844101,0.0016102626686915755
0,"[-1.0*x1 - 0.981*x2, 0.0825*x0]",0.004471610300242901,0.006738568656146526,"[x0 + 0.191*x1, 0.0831*x1]",0.0015284266555681825,0.006042470224201679,"[x2*(x0 - 6.67) + x2 + 0.188, 0.0914*x2 - 0.00842]",0.011374731548130512,0.0011045070132240653
1,"[-0.997*x1 - 0.997*x2, -0.083*x0]",0.0004111751914024353,0.006381971761584282,"[x0 + 0.201*x1, 0.0833*x1]",5.312905159371439e-06,0.005895486567169428,"[x2*(x0 - 5.65) + 0.209, 0.00885 - 0.0902*x2]",0.03842028230428696,0.0014040898531675339
2,"[-1.01*x1 - 0.981*x2, 0.0834*x0]",0.006227518431842327,0.00610945513471961,"[x0 + 0.185*x1, -0.0836*x1]",0.004694032017141581,0.005664156749844551,"[x2*(x0 - 5.63) + 0.192, 0.0934*x2 - 0.00917]",0.06742686033248901,0.0006912102689966559
